Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-12T19:29:39.566Z,,,Included,composer-2.5-fast,No,0,10480,1035227,5250,1050957,Included
2026-07-12T19:33:29.209Z,,,Included,composer-2.5-fast,No,0,7794,1870466,3562,1881822,Included
2026-07-12T19:35:04.639Z,,,Included,composer-2.5-fast,No,0,4213,483611,988,488812,Included
2026-07-12T19:39:19.824Z,,,Included,composer-2.5-fast,No,0,14050,1197556,4628,1216234,Included
2026-07-12T19:42:33.396Z,,,Included,composer-2.5-fast,No,0,1632,177178,1293,180103,Included
2026-07-12T19:43:39.564Z,,,Included,composer-2.5-fast,No,0,30206,933458,10439,974103,Included
2026-07-12T19:47:25.485Z,,,Included,composer-2.5-fast,No,0,616,43356,259,44231,Included
2026-07-12T19:48:09.599Z,,,Included,composer-2.5-fast,No,0,615,43971,811,45397,Included
2026-07-12T19:54:09.014Z,,,Included,composer-2.5-fast,No,0,28597,862160,8499,899256,Included
2026-07-12T19:58:33.740Z,,,Included,composer-2.5-fast,No,0,7042,303440,1610,312092,Included
2026-07-12T20:00:49.452Z,,,Included,composer-2.5-fast,No,0,3961,244800,1192,249953,Included
2026-07-12T20:01:43.055Z,,,Included,composer-2.5-fast,No,0,97727,642662,6834,747223,Included
2026-07-12T20:03:43.540Z,,,Included,composer-2.5-fast,No,0,619,96039,498,97156,Included
2026-07-12T20:04:43.141Z,,,Included,composer-2.5-fast,No,0,5000,392956,1615,399571,Included
2026-07-12T20:08:32.907Z,,,Included,composer-2.5-fast,No,0,7268,420502,888,428658,Included
2026-07-12T20:13:39.655Z,,,Included,composer-2.5-fast,No,0,1786,108917,1001,111704,Included
2026-07-12T20:14:53.074Z,,,Included,composer-2.5-fast,No,0,1872,222774,944,225590,Included
2026-07-12T20:16:23.156Z,,,Included,composer-2.5-fast,No,0,2644,341162,434,344240,Included
2026-07-12T20:17:22.806Z,,,Included,composer-2.5-fast,No,0,1509,347356,351,349216,Included
2026-07-12T20:23:30.523Z,,,Included,composer-2.5-fast,No,0,53930,185088,2098,241116,Included
2026-07-12T20:25:13.279Z,,,Included,composer-2.5-fast,No,0,1651,75552,1166,78369,Included
2026-07-12T20:27:04.815Z,,,Included,composer-2.5-fast,No,0,20462,268362,1952,290776,Included
2026-07-12T20:27:24.358Z,,,Included,composer-2.5-fast,No,0,21925,247670,1846,271441,Included
2026-07-12T20:36:25.334Z,,,Included,composer-2.5-fast,No,0,18666,517504,3018,539188,Included
2026-07-12T20:37:10.898Z,,,Included,composer-2.5-fast,No,0,31751,506429,3107,541287,Included
2026-07-12T20:38:48.606Z,,,Included,composer-2.5-fast,No,0,19448,259488,2614,281550,Included
2026-07-12T20:40:34.562Z,,,Included,composer-2.5-fast,No,0,29798,525856,4659,560313,Included
2026-07-12T20:44:05.965Z,,,Included,composer-2.5-fast,No,0,18266,392992,2409,413667,Included
2026-07-12T20:46:01.244Z,,,Included,composer-2.5-fast,No,0,38261,3489696,11726,3539683,Included
2026-07-12T20:52:47.191Z,,,Included,composer-2.5-fast,No,0,5451,216416,315,222182,Included
2026-07-12T20:54:35.803Z,,,Included,composer-2.5-fast,No,0,730,223456,218,224404,Included
2026-07-12T20:56:00.062Z,,,Included,composer-2.5-fast,No,0,7026,1053376,2446,1062848,Included
2026-07-12T20:59:18.430Z,,,Included,composer-2.5-fast,No,0,1096,243200,703,244999,Included
2026-07-12T21:00:53.075Z,,,Included,composer-2.5-fast,No,0,14143,233984,666,248793,Included
2026-07-12T21:02:19.408Z,,,Included,composer-2.5-fast,No,0,791,124896,1031,126718,Included
2026-07-12T21:03:08.098Z,,,Included,composer-2.5-fast,No,0,9887,504928,972,515787,Included
2026-07-12T21:04:50.547Z,,,Included,composer-2.5-fast,No,0,6313,390432,1372,398117,Included
2026-07-12T21:07:41.723Z,,,Included,composer-2.5-fast,No,0,7695,537024,834,545553,Included
2026-07-12T21:20:14.168Z,,,Included,composer-2.5-fast,No,0,31807,277841,2392,312040,Included
2026-07-13T04:32:59.623Z,,,Included,composer-2.5-fast,No,0,117968,2405444,21794,2545206,Included
2026-07-13T04:33:03.598Z,,,Included,composer-2.5-fast,No,0,35053,388062,6521,429636,Included
2026-07-13T04:43:44.360Z,,,Included,composer-2.5-fast,No,0,6955,479793,2679,489427,Included
2026-07-13T04:46:05.233Z,,,Included,composer-2.5-fast,No,0,2249,166578,1974,170801,Included
2026-07-13T04:50:56.480Z,,,Included,composer-2.5-fast,No,0,1983,85345,401,87729,Included
2026-07-13T04:51:50.076Z,,,Included,composer-2.5-fast,No,0,27741,1318149,7502,1353392,Included
2026-07-13T04:57:34.248Z,,,Included,composer-2.5-fast,No,0,16913,871483,4368,892764,Included
